medal_type,discipline,country,country_code
Gold Medal,Swimming,United States,USA
Silver Medal,Swimming,United States,USA
Bronze Medal,Swimming,United States,USA
Silver Medal,Swimming,United States,USA
Bronze Medal,Swimming,United States,USA
Gold Medal,Swimming,United States,USA
Silver Medal,Swimming,United States,USA
Bronze Medal,Swimming,United States,USA
Bronze Medal,Swimming,United States,USA
Silver Medal,Swimming,United States,USA
Bronze Medal,Swimming,United States,USA
Silver Medal,Swimming,United States,USA
Silver Medal,Swimming,United States,USA
Silver Medal,Swimming,United States,USA
Bronze Medal,Swimming,United States,USA
Bronze Medal,Canoe Slalom,United States,USA
Silver Medal,Swimming,United States,USA
Gold Medal,Swimming,United States,USA
Gold Medal,Rowing,United States,USA
Gold Medal,Swimming,United States,USA
Silver Medal,Swimming,United States,USA
Silver Medal,Swimming,United States,USA
Bronze Medal,Sailing,United States,USA
Silver Medal,Swimming,United States,USA
Bronze Medal,Rowing,United States,USA
Gold Medal,Swimming,United States,USA
Silver Medal,Swimming,United States,USA
Gold Medal,Swimming,United States,USA
Bronze Medal,Swimming,United States,USA
Gold Medal,Swimming,United States,USA
Silver Medal,Swimming,United States,USA
Gold Medal,Swimming,United States,USA
Gold Medal,Surfing,United States,USA
Silver Medal,Artistic Swimming,United States,USA
Silver Medal,Canoe Sprint,United States,USA
Bronze Medal,Water Polo,United States,USA
Silver Medal,Rowing,AIN,AIN
Silver Medal,Sailing,Argentina,ARG
Silver Medal,Swimming,Australia,AUS
Silver Medal,Swimming,Australia,AUS
Gold Medal,Swimming,Australia,AUS
Gold Medal,Swimming,Australia,AUS
Gold Medal,Canoe Slalom,Australia,AUS
Gold Medal,Swimming,Australia,AUS
Silver Medal,Swimming,Australia,AUS
Bronze Medal,Swimming,Australia,AUS
Gold Medal,Swimming,Australia,AUS
Gold Medal,Canoe Slalom,Australia,AUS
Silver Medal,Swimming,Australia,AUS
Silver Medal,Swimming,Australia,AUS
Gold Medal,Swimming,Australia,AUS
Bronze Medal,Rowing,Australia,AUS
Gold Medal,Swimming,Australia,AUS
Gold Medal,Swimming,Australia,AUS
Silver Medal,Sailing,Australia,AUS
Bronze Medal,Swimming,Australia,AUS
Bronze Medal,Swimming,Australia,AUS
Silver Medal,Swimming,Australia,AUS
Silver Medal,Swimming,Australia,AUS
Silver Medal,Swimming,Australia,AUS
Gold Medal,Canoe Slalom,Australia,AUS
Silver Medal,Surfing,Australia,AUS
Gold Medal,Sailing,Australia,AUS
Silver Medal,Canoe Sprint,Australia,AUS
Silver Medal,Marathon Swimming,Australia,AUS
Bronze Medal,Canoe Sprint,Australia,AUS
Silver Medal,Water Polo,Australia,AUS
Gold Medal,Sailing,Austria,AUT
Gold Medal,Sailing,Austria,AUT
Bronze Medal,Surfing,Brazil,BRA
Silver Medal,Surfing,Brazil,BRA
Silver Medal,Canoe Sprint,Brazil,BRA
Silver Medal,Swimming,Canada,CAN
Gold Medal,Swimming,Canada,CAN
Bronze Medal,Swimming,Canada,CAN
Gold Medal,Swimming,Canada,CAN
Bronze Medal,Swimming,Canada,CAN
Silver Medal,Rowing,Canada,CAN
Silver Medal,Swimming,Canada,CAN
Bronze Medal,Swimming,Canada,CAN
Gold Medal,Swimming,Canada,CAN
Bronze Medal,Canoe Sprint,Canada,CAN
Gold Medal,Canoe Sprint,Canada,CAN
Bronze Medal,Swimming,China,CHN
Bronze Medal,Swimming,China,CHN
Silver Medal,Swimming,China,CHN
Silver Medal,Swimming,China,CHN
Gold Medal,Swimming,China,CHN
Bronze Medal,Swimming,China,CHN
Bronze Medal,Swimming,China,CHN
Bronze Medal,Swimming,China,CHN
Silver Medal,Swimming,China,CHN
Gold Medal,Swimming,China,CHN
Bronze Medal,Swimming,China,CHN
Bronze Medal,Swimming,China,CHN
Gold Medal,Artistic Swimming,China,CHN
Gold Medal,Canoe Sprint,China,CHN
Gold Medal,Canoe Sprint,China,CHN
Gold Medal,Artistic Swimming,China,CHN
Gold Medal,Rowing,Croatia,CRO
Silver Medal,Water Polo,Croatia,CRO
Bronze Medal,Canoe Sprint,Cuba,CUB
Silver Medal,Sailing,Cyprus,CYP
Gold Medal,Canoe Sprint,Czechia,CZE
Gold Medal,Canoe Sprint,Czechia,CZE
Silver Medal,Sailing,Denmark,DEN
Bronze Medal,Canoe Sprint,Denmark,DEN
Gold Medal,Swimming,France,FRA
Gold Medal,Canoe Slalom,France,FRA
Gold Medal,Swimming,France,FRA
Gold Medal,Swimming,France,FRA
Silver Medal,Swimming,France,FRA
Silver Medal,Canoe Slalom,France,FRA
Bronze Medal,Sailing,France,FRA
Gold Medal,Swimming,France,FRA
Bronze Medal,Swimming,France,FRA
Bronze Medal,Swimming,France,FRA
Silver Medal,Canoe Slalom,France,FRA
Gold Medal,Surfing,France,FRA
Bronze Medal,Surfing,France,FRA
Silver Medal,Sailing,France,FRA
Gold Medal,Swimming,Germany,GER
Silver Medal,Canoe Slalom,Germany,GER
Bronze Medal,Rowing,Germany,GER
Bronze Medal,Swimming,Germany,GER
Gold Medal,Rowing,Germany,GER
Bronze Medal,Canoe Slalom,Germany,GER
Gold Medal,Canoe Sprint,Germany,GER
Silver Medal,Canoe Sprint,Germany,GER
Gold Medal,Canoe Sprint,Germany,GER
Bronze Medal,Canoe Sprint,Germany,GER
Silver Medal,Marathon Swimming,Germany,GER
Bronze Medal,Canoe Slalom,Great Britain,GBR
Silver Medal,Swimming,Great Britain,GBR
Silver Medal,Canoe Slalom,Great Britain,GBR
Silver Medal,Swimming,Great Britain,GBR
Gold Medal,Swimming,Great Britain,GBR
Gold Medal,Rowing,Great Britain,GBR
Bronze Medal,Rowing,Great Britain,GBR
Bronze Medal,Rowing,Great Britain,GBR
Silver Medal,Rowing,Great Britain,GBR
Gold Medal,Rowing,Great Britain,GBR
Silver Medal,Rowing,Great Britain,GBR
Silver Medal,Swimming,Great Britain,GBR
Silver Medal,Swimming,Great Britain,GBR
Gold Medal,Rowing,Great Britain,GBR
Bronze Medal,Rowing,Great Britain,GBR
Bronze Medal,Sailing,Great Britain,GBR
Silver Medal,Canoe Slalom,Great Britain,GBR
Bronze Medal,Canoe Slalom,Great Britain,GBR
Gold Medal,Sailing,Great Britain,GBR
Silver Medal,Artistic Swimming,Great Britain,GBR
Silver Medal,Swimming,Greece,GRE
Bronze Medal,Rowing,Greece,GRE
Bronze Medal,Rowing,Greece,GRE
Bronze Medal,Swimming,Hong Kong,HKG
Bronze Medal,Swimming,Hong Kong,HKG
Silver Medal,Swimming,Hungary,HUN
Gold Medal,Swimming,Hungary,HUN
Gold Medal,Swimming,Hungary,HUN
Bronze Medal,Canoe Sprint,Hungary,HUN
Silver Medal,Canoe Sprint,Hungary,HUN
Silver Medal,Canoe Sprint,Hungary,HUN
Bronze Medal,Canoe Sprint,Hungary,HUN
Gold Medal,Marathon Swimming,Hungary,HUN
Bronze Medal,Marathon Swimming,Hungary,HUN
Silver Medal,Canoe Sprint,Hungary,HUN
Bronze Medal,Canoe Sprint,Hungary,HUN
Silver Medal,Canoe Sprint,Hungary,HUN
Bronze Medal,Swimming,Ireland,IRL
Gold Medal,Swimming,Ireland,IRL
Bronze Medal,Rowing,Ireland,IRL
Gold Medal,Rowing,Ireland,IRL
Bronze Medal,Swimming,Ireland,IRL
Gold Medal,Sailing,Israel,ISR
Silver Medal,Sailing,Israel,ISR
Bronze Medal,Swimming,Italy,ITA
Gold Medal,Swimming,Italy,ITA
Gold Medal,Swimming,Italy,ITA
Bronze Medal,Swimming,Italy,ITA
Silver Medal,Rowing,Italy,ITA
Gold Medal,Canoe Slalom,Italy,ITA
Silver Medal,Rowing,Italy,ITA
Gold Medal,Sailing,Italy,ITA
Silver Medal,Swimming,Italy,ITA
Silver Medal,Canoe Sprint,Italy,ITA
Bronze Medal,Marathon Swimming,Italy,ITA
Gold Medal,Sailing,Italy,ITA
Silver Medal,Swimming,Japan,JPN
Silver Medal,Sailing,Japan,JPN
Bronze Medal,Swimming,Korea,KOR
Bronze Medal,Rowing,Lithuania,LTU
Gold Medal,Rowing,Netherlands,NED
Silver Medal,Rowing,Netherlands,NED
Bronze Medal,Swimming,Netherlands,NED
Silver Medal,Rowing,Netherlands,NED
Gold Medal,Rowing,Netherlands,NED
Bronze Medal,Swimming,Netherlands,NED
Gold Medal,Rowing,Netherlands,NED
Gold Medal,Sailing,Netherlands,NED
Silver Medal,Rowing,Netherlands,NED
Bronze Medal,Rowing,Netherlands,NED
Gold Medal,Rowing,Netherlands,NED
Bronze Medal,Sailing,Netherlands,NED
Gold Medal,Sailing,Netherlands,NED
Gold Medal,Marathon Swimming,Netherlands,NED
Bronze Medal,Sailing,Netherlands,NED
Bronze Medal,Artistic Swimming,Netherlands,NED
Bronze Medal,Water Polo,Netherlands,NED
Silver Medal,Rowing,New Zealand,NZL
Gold Medal,Rowing,New Zealand,NZL
Bronze Medal,Rowing,New Zealand,NZL
Silver Medal,Sailing,New Zealand,NZL
Silver Medal,Rowing,New Zealand,NZL
Gold Medal,Canoe Slalom,New Zealand,NZL
Gold Medal,Canoe Sprint,New Zealand,NZL
Bronze Medal,Sailing,New Zealand,NZL
Gold Medal,Canoe Sprint,New Zealand,NZL
Gold Medal,Canoe Sprint,New Zealand,NZL
Bronze Medal,Sailing,Norway,NOR
Bronze Medal,Sailing,Peru,PER
Silver Medal,Canoe Slalom,Poland,POL
Bronze Medal,Rowing,Poland,POL
Bronze Medal,Canoe Sprint,Moldova,MDA
Gold Medal,Swimming,Romania,ROU
Bronze Medal,Swimming,Romania,ROU
Gold Medal,Rowing,Romania,ROU
Silver Medal,Rowing,Romania,ROU
Silver Medal,Rowing,Romania,ROU
Silver Medal,Rowing,Romania,ROU
Gold Medal,Rowing,Romania,ROU
Gold Medal,Water Polo,Serbia,SRB
Bronze Medal,Sailing,Singapore,SGP
Bronze Medal,Canoe Slalom,Slovakia,SVK
Silver Medal,Sailing,Slovenia,SLO
Gold Medal,Swimming,South Africa,ZAF
Silver Medal,Swimming,South Africa,ZAF
Bronze Medal,Canoe Slalom,Spain,ESP
Gold Medal,Sailing,Spain,ESP
Bronze Medal,Artistic Swimming,Spain,ESP
Bronze Medal,Canoe Sprint,Spain,ESP
Bronze Medal,Canoe Sprint,Spain,ESP
Gold Medal,Water Polo,Spain,ESP
Gold Medal,Swimming,Sweden,SWE
Silver Medal,Sailing,Sweden,SWE
Gold Medal,Swimming,Sweden,SWE
Bronze Medal,Sailing,Sweden,SWE
Bronze Medal,Swimming,Switzerland,SUI
Bronze Medal,Rowing,Switzerland,SUI
Silver Medal,Canoe Sprint,Ukraine,UKR